0.1278,NaN
0.1634,NaN
0.199,-0.535304193033721
0.2346,-0.589037761048153
0.2702,-0.598868526732078
0.3058,-0.586602078106662
0.3414,-0.582248502702354
0.377,-0.587119666706554
0.4126,-0.597480430070105
0.4482,-0.607136678665609
0.4838,-0.615716885421362
0.5194,-0.626801839708668
0.555,-0.644013808360272
0.5906,-0.666808098240347
0.6262,-0.690526089389095
0.6618,-0.709548492950418
0.6974,-0.72349989060062
0.733,-0.73676474741177
0.7686,-0.752606260373502
0.8042,-0.774056913278812
0.8398,-0.781591493379283
0.8754,-0.770469198950252
0.911,-0.750508345112418
0.9466,-0.706804052894624
0.9822,-0.566045043110818
